noise_level,accuracy,confidence,confidence_std
0.0,0.9952380952380953,0.996579,0.028727112
0.01,0.8523809523809524,0.9497936,0.115878455
0.05,0.3142857142857143,0.9532246,0.11146403
0.1,0.23333333333333334,0.9755805,0.08050199
