Операция,Время (сек)
Загрузка данных,4.767109155654907
Предобработка,0.004431247711181641
Создание модели,0.13931488990783691
Обучение,28.423233032226562
Тестирование,0.3460700511932373
ОБЩЕЕ,33.68026804924011
