noise_level,noise_percent,mean_max_probability,std_max_probability,accuracy,min_prob,max_prob
0.0,0.0,0.15097345,1.4901161e-08,0.14285714285714285,0.15097347,0.15097347
0.1,10.0,0.15097345,1.4901161e-08,0.14285714285714285,0.15097347,0.15097347
0.2,20.0,0.15097345,1.4901161e-08,0.14285714285714285,0.15097347,0.15097347
0.5,50.0,0.15097345,1.4901161e-08,0.14285714285714285,0.15097347,0.15097347
1.0,100.0,0.15097345,1.4901161e-08,0.14285714285714285,0.15097347,0.15097347
2.0,200.0,0.15097345,1.4901161e-08,0.14285714285714285,0.15097347,0.15097347
