noise_level,noise_percent,mean_max_probability,std_max_probability,accuracy,min_prob,max_prob,unique_probs,total_samples,uniqueness_ratio
0.0,0.0,0.1518389,2.9802322e-08,0.14285714285714285,0.15183887,0.15183887,1,210,0.004761904761904762
0.01,1.0,0.15184508,3.675239e-06,0.14285714285714285,0.1518357,0.15185419,2,210,0.009523809523809525
0.05,5.0,0.15188816,1.5226911e-05,0.14285714285714285,0.15184245,0.15192814,2,210,0.009523809523809525
0.1,10.0,0.15194635,3.3875385e-05,0.14285714285714285,0.15185747,0.15204643,2,210,0.009523809523809525
0.2,20.0,0.15208872,6.455114e-05,0.14285714285714285,0.15190376,0.15228857,5,210,0.023809523809523808
0.5,50.0,0.15261129,0.00016476164,0.14285714285714285,0.15213804,0.15304044,10,210,0.047619047619047616
