noise_level,noise_percent,mean_max_probability,std_max_probability,accuracy,min_prob,max_prob,unique_probs,total_samples,uniqueness_ratio
0.0,0.0,0.16609645,0.0,0.14285714285714285,0.16609645,0.16609645,1,210,0.004761904761904762
0.01,1.0,0.16609645,0.0,0.14285714285714285,0.16609645,0.16609645,1,210,0.004761904761904762
0.05,5.0,0.16609645,0.0,0.14285714285714285,0.16609645,0.16609645,1,210,0.004761904761904762
0.1,10.0,0.16609645,0.0,0.14285714285714285,0.16609645,0.16609645,1,210,0.004761904761904762
0.2,20.0,0.16609645,0.0,0.14285714285714285,0.16609645,0.16609645,1,210,0.004761904761904762
0.5,50.0,0.16609645,0.0,0.14285714285714285,0.16609645,0.16609645,1,210,0.004761904761904762
